rel_id,song_id,author_id,合作类型,备注,最新更新时间
120112_A243,120112,A243,,,2026-03-24 01:48:46
120113_A244,120113,A244,,,2026-03-24 01:48:46
120114_A148,120114,A148,,,2026-03-24 01:48:46
120115_A024,120115,A024,,,2026-03-24 01:48:46
120116_A245,120116,A245,,,2026-03-24 01:48:46
120117_A246,120117,A246,,,2026-03-24 01:48:46
120118_A247,120118,A247,,,2026-03-24 01:48:46
120119_A157,120119,A157,,,2026-03-24 01:48:46
120120_A157,120120,A157,,,2026-03-24 01:48:46
120121_A030,120121,A030,,,2026-03-24 01:48:46
120122_A248,120122,A248,,,2026-03-24 01:48:46
120123_A034,120123,A034,,,2026-03-24 01:48:46
120124_A032,120124,A032,,,2026-03-24 01:48:46
120125_A249,120125,A249,,,2026-03-24 01:48:46
120126_A025,120126,A025,,,2026-03-24 01:48:46
120127_A250,120127,A250,,,2026-03-24 01:48:46
120128_A131,120128,A131,,,2026-03-24 01:48:46
120129_A251,120129,A251,,,2026-03-24 01:48:46
120130_A252,120130,A252,,,2026-03-24 01:48:46
120131_A238,120131,A238,,,2026-03-24 01:48:46
120132_A253,120132,A253,,,2026-03-24 01:48:46
120133_A034,120133,A034,,,2026-03-24 01:48:46
120134_A118,120134,A118,,,2026-03-24 01:48:46
120135_A254,120135,A254,,,2026-03-24 01:48:46
120136_A035,120136,A035,,,2026-03-24 01:48:46
120137_A255,120137,A255,,,2026-03-24 01:48:46
120138_A083,120138,A083,,,2026-03-24 01:48:46
120139_A063,120139,A063,,,2026-03-24 01:48:46
120140_A016,120140,A016,,,2026-03-24 01:48:46
120141_A037,120141,A037,,,2026-03-24 01:48:46
120142_A256,120142,A256,,,2026-03-24 01:48:46
120143_A257,120143,A257,,,2026-03-24 01:48:46
120144_A258,120144,A258,,,2026-03-24 01:48:46
120145_A081,120145,A081,,,2026-03-24 01:48:46
120146_A043,120146,A043,,,2026-03-24 01:48:46
120147_A259,120147,A259,,,2026-03-24 01:48:46
120148_A259,120148,A259,,,2026-03-24 01:48:46
120149_A259,120149,A259,,,2026-03-24 01:48:46
120150_A006,120150,A006,,,2026-03-24 01:48:46
120151_A094,120151,A094,,,2026-03-24 01:48:46
120152_A260,120152,A260,,,2026-03-24 01:48:46
120153_A261,120153,A261,,,2026-03-24 01:48:46
120154_A262,120154,A262,,,2026-03-24 01:48:46
120155_A263,120155,A263,,,2026-03-24 01:48:46
120156_A264,120156,A264,,,2026-03-24 01:48:46
120157_A265,120157,A265,,,2026-03-24 01:48:46
120158_A266,120158,A266,,,2026-03-24 01:48:46
120159_A267,120159,A267,,,2026-03-24 01:48:46
120160_A261,120160,A261,,,2026-03-24 01:48:46
120161_A268,120161,A268,,,2026-03-24 01:48:46
120162_A269,120162,A269,,,2026-03-24 01:48:46
120163_A043,120163,A043,,,2026-03-24 01:48:46
120164_A175,120164,A175,,,2026-03-24 01:48:46
120165_A120,120165,A120,,,2026-03-24 01:48:46
120166_A270,120166,A270,,,2026-03-24 01:48:46
120167_A271,120167,A271,,,2026-03-24 01:48:46
120168_A272,120168,A272,,,2026-03-24 01:48:46
120169_A134,120169,A134,,,2026-03-24 01:48:46
120170_A013,120170,A013,,,2026-03-24 01:48:46
120171_A022,120171,A022,,,2026-03-24 01:48:46
120172_A058,120172,A058,,,2026-03-24 01:48:46
120173_A044,120173,A044,,,2026-03-24 01:48:46
120174_A049,120174,A049,,,2026-03-24 01:48:46
120175_A273,120175,A273,,,2026-03-24 01:48:46
120176_A083,120176,A083,,,2026-03-24 01:48:46
120177_A274,120177,A274,,,2026-03-24 01:48:46
120178_A065,120178,A065,,,2026-03-24 01:48:46
120179_A275,120179,A275,,,2026-03-24 01:48:46
120180_A276,120180,A276,,,2026-03-24 01:48:46
120181_A277,120181,A277,,,2026-03-24 01:48:46
120182_A015,120182,A015,,,2026-03-24 01:48:46
120183_A278,120183,A278,,,2026-03-24 01:48:46
120184_A279,120184,A279,,,2026-03-24 01:48:46
120185_A128,120185,A128,,,2026-03-24 01:48:46
120186_A043,120186,A043,,,2026-03-24 01:48:46
120187_A079,120187,A079,,,2026-03-24 01:48:46
120188_A280,120188,A280,,,2026-03-24 01:48:46
120189_A008,120189,A008,,,2026-03-24 01:48:46
120190_A001,120190,A001,,,2026-03-24 01:48:46
120191_A094,120191,A094,,,2026-03-24 01:48:46
120192_A281,120192,A281,,,2026-03-24 01:48:46
120193_A282,120193,A282,,,2026-03-24 01:48:46
120194_A283,120194,A283,,,2026-03-24 01:48:46
120195_A284,120195,A284,,,2026-03-24 01:48:46
120196_A034,120196,A034,,,2026-03-24 01:48:46
120197_A105,120197,A105,,,2026-03-24 01:48:46
120198_A285,120198,A285,,,2026-03-24 01:48:46
120199_A052,120199,A052,,,2026-03-24 01:48:46
120200_A286,120200,A286,,,2026-03-24 01:48:46
120201_A131,120201,A131,,,2026-03-24 01:48:46
120202_A287,120202,A287,,,2026-03-24 01:48:46
120203_A288,120203,A288,,,2026-03-24 01:48:46
120204_A289,120204,A289,,,2026-03-24 01:48:46
120205_A290,120205,A290,,,2026-03-24 01:48:46
120206_A143,120206,A143,,,2026-03-24 01:48:46
120207_A291,120207,A291,,,2026-03-24 01:48:46
120208_A015,120208,A015,,,2026-03-24 01:48:46
120209_A292,120209,A292,,,2026-03-24 01:48:46
120210_A128,120210,A128,,,2026-03-24 01:48:46
120211_A181,120211,A181,,,2026-03-24 01:48:46
120212_A293,120212,A293,,,2026-03-24 01:48:46
120213_A294,120213,A294,,,2026-03-24 01:48:46
120214_A186,120214,A186,,,2026-03-24 01:48:46
120215_A096,120215,A096,,,2026-03-24 01:48:46
120216_A295,120216,A295,,,2026-03-24 01:48:46
120217_A296,120217,A296,,,2026-03-24 01:48:46
120218_A297,120218,A297,,,2026-03-24 01:48:46
120219_A298,120219,A298,,,2026-03-24 01:48:46
120220_A044,120220,A044,,,2026-03-24 01:48:46
120221_A299,120221,A299,,,2026-03-24 01:48:46
120222_A300,120222,A300,,,2026-03-24 01:48:46
120223_A301,120223,A301,,,2026-03-24 01:48:46
120224_A302,120224,A302,,,2026-03-24 01:48:46
120225_A303,120225,A303,,,2026-03-24 01:48:46
120226_A283,120226,A283,,,2026-03-24 01:48:46
120227_A304,120227,A304,,,2026-03-24 01:48:46
120228_A188,120228,A188,,,2026-03-24 01:48:46
120229_A049,120229,A049,,,2026-03-24 01:48:46
120230_A305,120230,A305,,,2026-03-24 01:48:46
120231_A007,120231,A007,,,2026-03-24 01:48:46
120232_A230,120232,A230,,,2026-03-24 01:48:46
120233_A303,120233,A303,,,2026-03-24 01:48:46
120234_A306,120234,A306,,,2026-03-24 01:48:46
120235_A307,120235,A307,,,2026-03-24 01:48:46
120236_A308,120236,A308,,,2026-03-24 01:48:46
120237_A309,120237,A309,,,2026-03-24 01:48:46
120238_A310,120238,A310,,,2026-03-24 01:48:46
120239_A311,120239,A311,,,2026-03-24 01:48:46
120240_A058,120240,A058,,,2026-03-24 01:48:46
120241_A073,120241,A073,,,2026-03-24 01:48:46
130255_A312,130255,A312,,,2026-03-24 01:48:46
130256_A313,130256,A313,,,2026-03-24 01:48:46
130252_A314,130252,A314,,,2026-03-24 01:48:46
130253_A315,130253,A315,,,2026-03-24 01:48:46
130254_A188,130254,A188,,,2026-03-24 01:48:46
130249_A316,130249,A316,,,2026-03-24 01:48:46
130250_A317,130250,A317,,,2026-03-24 01:48:46
130251_A318,130251,A318,,,2026-03-24 01:48:46
130247_A204,130247,A204,,,2026-03-24 01:48:46
130248_A174,130248,A174,,,2026-03-24 01:48:46
130130_A135,130130,A135,,,2026-03-24 01:48:46
130131_A319,130131,A319,,,2026-03-24 01:48:46
130132_A320,130132,A320,,,2026-03-24 01:48:46
130133_A321,130133,A321,,,2026-03-24 01:48:46
130134_A322,130134,A322,,,2026-03-24 01:48:46
130245_A323,130245,A323,,,2026-03-24 01:48:46
130246_A324,130246,A324,,,2026-03-24 01:48:46
130062_A325,130062,A325,,,2026-03-24 01:48:46
130063_A326,130063,A326,,,2026-03-24 01:48:46
130064_A120,130064,A120,,,2026-03-24 01:48:46
